"id"	"length"	"DP1"	"DP2"	"DW1"	"DW2"	"NP1"	"NP2"	"NW1"	"NW2"	"H2O_DMSO_1"	"H2O_DMSO_2"	"H2O_DMSO_3"	"H2O_Nutlin_1"	"H2O_Nutlin_2"	"H2O_Nutlin_3"	"Peg_6_DMSO_1"	"Peg_6_DMSO_2"	"Peg6_DMSO_3"	"Peg6_Nutlin_1"	"Peg6_Nutlin_2"	"Peg6_Nutlin_3"	"gene"	"a_type"	"a_num"	"accession"	"sums"	"normalized_sums"
"NR_037584_AA06"	632	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AA06"	"NR"	"037584"	"NR_037584"	1	0.00158227848101266
"NM_015665_AAAS"	1815	1274	1373	958	1198	1643	1517	1084	1511	752	1229	2071	796	929	2183	876	1708	2772	808	1494	2442	"AAAS"	"NM"	"015665"	"NM_015665"	28618	15.7674931129477
"NM_023928_AACS"	3256	470	521	354	417	566	552	410	458	493	287	869	596	277	900	530	452	887	560	392	1049	"AACS"	"NM"	"023928"	"NM_023928"	11040	3.39066339066339
"NR_135095_AACSP1"	2825	366	412	272	340	408	353	351	353	52	57	194	69	77	324	57	88	245	46	92	276	"AACSP1"	"NR"	"135095"	"NR_135095"	4432	1.56884955752212
"NM_001086_AADAC"	1563	171	160	123	164	155	121	142	35	467	137	510	793	184	640	556	191	509	803	182	665	"AADAC"	"NM"	"001086"	"NM_001086"	6708	4.29174664107486
"NM_207365_AADACL2"	8278	12	6	4	3	13	9	17	2	6	0	11	10	1	9	6	1	13	14	2	13	"AADACL2"	"NM"	"207365"	"NM_207365"	152	0.0183619231698478
"NR_110202_AADACL2-AS1"	1170	33	28	13	22	34	23	32	13	5	3	7	18	8	26	6	5	17	10	3	15	"AADACL2-AS1"	"NR"	"110202"	"NR_110202"	321	0.274358974358974
"NR_111984_AADACL3"	3832	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	"AADACL3"	"NR"	"111984"	"NR_111984"	5	0.00130480167014614
"NM_001013630_AADACL4"	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AADACL4"	"NM"	"001013630"	"NM_001013630"	0	0
"NR_026915_AADACP1"	1289	287	224	192	214	336	234	201	101	213	75	81	395	121	92	239	131	124	292	149	101	"AADACP1"	"NR"	"026915"	"NR_026915"	3802	2.94957331264546
"NM_182662_AADAT"	2108	321	325	318	296	445	322	286	163	180	353	1293	263	343	1532	242	542	1536	257	537	1651	"AADAT"	"NM"	"182662"	"NM_182662"	11205	5.31546489563567
"NM_001271885_AAGAB"	3083	1535	1610	1297	1291	2330	1690	1413	789	1831	2129	3104	2290	1837	3333	2363	3122	4397	1954	2900	3855	"AAGAB"	"NM"	"001271885"	"NM_001271885"	45070	14.6188777165099
"NM_014911_AAK1"	21157	1804	1571	1352	1638	2392	1788	1573	1043	578	705	859	762	807	963	781	1066	858	744	1104	1113	"AAK1"	"NM"	"014911"	"NM_014911"	23501	1.11079075483292
"NM_001363564_AAMDC"	511	45	56	23	41	62	56	28	43	86	30	305	79	21	307	104	44	386	100	40	373	"AAMDC"	"NM"	"001363564"	"NM_001363564"	2229	4.36203522504892
"NM_001302545_AAMP"	1763	2155	2397	1675	1867	2796	2852	1957	2314	3323	2842	5975	3089	2179	6505	3747	3955	8114	3511	3184	7431	"AAMP"	"NM"	"001302545"	"NM_001302545"	71868	40.7646057855927
"NR_110548_AANAT"	1027	23	39	19	22	17	19	25	44	3	2	13	4	5	9	4	6	10	4	5	15	"AANAT"	"NR"	"110548"	"NR_110548"	288	0.280428432327167
"NM_001271874_AAR2"	2417	1052	1145	827	1054	1556	1441	997	1344	945	1042	2372	1039	863	2401	1085	1572	3101	1030	1288	2689	"AAR2"	"NM"	"001271874"	"NM_001271874"	28843	11.9333884981382
"NM_001025357_AARD"	2291	1	0	1	1	3	1	2	1	2	0	0	2	0	3	1	0	1	1	0	0	"AARD"	"NM"	"001025357"	"NM_001025357"	20	0.00872981230903536
"NM_001605_AARS"	3344	3757	4141	2768	3336	5190	4335	3367	3784	6422	3347	6804	6341	3333	7305	7411	4944	9528	7488	4909	8560	"AARS"	"NM"	"001605"	"NM_001605"	107070	32.0185406698565
"NM_020745_AARS2"	4798	1045	1233	878	1086	1205	1278	1008	1440	174	515	1203	267	483	1280	208	742	1198	254	747	1229	"AARS2"	"NM"	"020745"	"NM_020745"	17473	3.6417257190496
"NM_001261434_AARSD1"	1320	814	891	631	871	1187	1134	814	723	821	1038	2472	893	889	2883	899	1505	3062	985	1292	3096	"AARSD1"	"NM"	"001261434"	"NM_001261434"	26900	20.3787878787879
"NM_001323892_AASDH"	3416	299	353	261	277	492	311	332	134	347	245	699	443	281	765	467	365	915	459	390	985	"AASDH"	"NM"	"001323892"	"NM_001323892"	8820	2.58196721311475
"NM_015423_AASDHPPT"	2767	1190	1157	1020	1086	1937	1227	1212	414	892	1456	2831	1360	1453	2931	1267	2140	4421	1042	2274	3733	"AASDHPPT"	"NM"	"015423"	"NM_015423"	35043	12.6646187206361
"NM_005763_AASS"	5824	111	82	72	82	108	94	102	54	108	93	519	165	108	647	132	132	543	142	151	599	"AASS"	"NM"	"005763"	"NM_005763"	4044	0.694368131868132
"NR_026961_AATBC"	4598	225	227	207	275	204	201	219	310	54	9	24	47	12	16	76	21	9	72	27	19	"AATBC"	"NR"	"026961"	"NR_026961"	2254	0.49021313614615
"NM_012138_AATF"	4124	1958	2076	1612	1851	3037	2612	1663	1642	2177	2358	4906	2131	1801	4718	2411	3363	7003	2300	2922	5951	"AATF"	"NM"	"012138"	"NM_012138"	58492	14.1833171677983
"NM_004920_AATK"	5089	97	107	62	101	106	96	80	170	25	37	133	33	45	141	39	56	181	46	71	162	"AATK"	"NM"	"004920"	"NM_004920"	1788	0.351346040479465
"NR_131907_ABALON"	1903	2498	2685	1921	2396	3471	3040	1974	2527	1305	929	889	1402	739	778	1507	1274	948	1317	1143	968	"ABALON"	"NR"	"131907"	"NR_131907"	33711	17.7146610614819
"NM_020686_ABAT"	4778	132	125	83	120	171	135	111	148	122	72	490	176	87	527	152	130	534	161	127	591	"ABAT"	"NM"	"020686"	"NM_020686"	4194	0.87777312683131
"NM_005502_ABCA1"	10408	54	31	39	42	63	39	56	44	61	24	2	99	36	2	72	31	4	54	48	4	"ABCA1"	"NM"	"005502"	"NM_005502"	805	0.0773443504996157
"NM_080282_ABCA10"	6331	34	38	26	34	36	23	35	17	15	9	46	29	6	68	24	16	75	13	19	82	"ABCA10"	"NM"	"080282"	"NM_080282"	645	0.10187963986732
"NR_002451_ABCA11P"	1895	254	266	206	269	398	268	241	210	126	155	272	117	131	273	123	215	416	136	191	363	"ABCA11P"	"NR"	"002451"	"NR_002451"	4630	2.44327176781003
"NM_015657_ABCA12"	8085	64	44	34	43	74	66	74	43	101	53	92	160	82	95	147	77	101	146	80	98	"ABCA12"	"NM"	"015657"	"NM_015657"	1674	0.207050092764378
"NM_152701_ABCA13"	17188	9	11	15	16	19	15	13	10	2	2	2	1	1	2	2	0	3	3	1	6	"ABCA13"	"NM"	"152701"	"NM_152701"	133	0.0077379567139865
"NR_003574_ABCA17P"	4188	13	16	10	18	20	16	20	19	9	2	16	10	3	17	19	3	16	19	8	13	"ABCA17P"	"NR"	"003574"	"NR_003574"	267	0.0637535816618911
"NM_001606_ABCA2"	8103	4483	4452	3481	4438	4573	4609	3787	7020	2941	2169	4487	3288	2348	4947	3456	3175	4034	3640	2887	5213	"ABCA2"	"NM"	"001606"	"NM_001606"	79428	9.80229544613106
"NM_001089_ABCA3"	6602	297	295	240	322	361	298	279	427	600	80	686	635	91	780	709	116	721	734	140	727	"ABCA3"	"NM"	"001089"	"NM_001089"	8538	1.29324447137231
"NM_000350_ABCA4"	7328	29	33	15	40	24	20	16	31	21	6	83	25	7	136	21	2	94	31	9	72	"ABCA4"	"NM"	"000350"	"NM_000350"	715	0.09757096069869
"NM_172232_ABCA5"	8252	215	210	187	205	284	178	198	64	223	135	1124	367	186	1298	343	193	1217	285	233	1241	"ABCA5"	"NM"	"172232"	"NM_172232"	8386	1.01623848763936
"NM_080284_ABCA6"	5321	1	2	1	5	6	3	5	0	2	2	3	2	0	3	4	2	1	3	2	4	"ABCA6"	"NM"	"080284"	"NM_080284"	51	0.00958466453674121
"NM_019112_ABCA7"	6818	1619	1698	1500	1822	1588	1627	1583	2720	1187	961	3657	1427	969	4146	1320	1399	3159	1575	1140	3955	"ABCA7"	"NM"	"019112"	"NM_019112"	39052	5.72777940745087
"NM_001288985_ABCA8"	6001	2	6	7	3	8	4	5	0	1	0	1	0	0	2	0	2	0	2	0	3	"ABCA8"	"NM"	"001288985"	"NM_001288985"	46	0.00766538910181636
"NM_080283_ABCA9"	6377	6	5	6	5	6	2	7	4	7	1	19	22	0	17	6	1	18	14	0	19	"ABCA9"	"NM"	"080283"	"NM_080283"	165	0.0258742355339501
"NR_126414_ABCA9-AS1"	523	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	"ABCA9-AS1"	"NR"	"126414"	"NR_126414"	7	0.0133843212237094
"NM_001348944_ABCB1"	4569	64	65	74	71	102	72	68	41	62	63	15	90	88	25	71	84	21	67	125	19	"ABCB1"	"NM"	"001348944"	"NM_001348944"	1287	0.281680892974393
"NM_012089_ABCB10"	3869	920	942	753	755	1368	886	812	696	317	864	1828	525	936	1960	495	1265	2262	406	1334	2176	"ABCB10"	"NM"	"012089"	"NM_012089"	21500	5.55699147066425
"NM_003742_ABCB11"	11132	2	3	1	1	1	2	0	0	1	0	6	0	0	3	2	2	2	5	2	8	"ABCB11"	"NM"	"003742"	"NM_003742"	41	0.00368307581746317
"NM_018850_ABCB4"	3826	6	4	5	1	8	4	3	6	4	2	3	7	4	3	4	8	4	5	4	0	"ABCB4"	"NM"	"018850"	"NM_018850"	85	0.0222164140094093
"NM_178559_ABCB5"	4382	2	3	2	4	1	4	4	0	3	0	10	1	0	8	0	4	5	0	0	9	"ABCB5"	"NM"	"178559"	"NM_178559"	60	0.0136923779096303
"NM_001349828_ABCB6"	2842	769	827	606	818	893	841	838	1114	444	549	2031	565	667	2392	545	942	1931	686	840	2292	"ABCB6"	"NM"	"001349828"	"NM_001349828"	20590	7.24489795918367
"NM_004299_ABCB7"	4594	518	600	433	557	890	597	527	265	375	643	1870	469	569	2222	489	982	2234	485	903	2011	"ABCB7"	"NM"	"004299"	"NM_004299"	17639	3.83957335655202
"NM_007188_ABCB8"	4656	1187	1255	975	1207	1293	1311	1027	1632	694	901	2333	774	942	2735	866	1326	2470	900	1247	2734	"ABCB8"	"NM"	"007188"	"NM_007188"	27809	5.97272336769759
"NM_019625_ABCB9"	3484	347	430	306	398	516	464	362	633	169	226	556	172	273	673	200	318	620	195	357	697	"ABCB9"	"NM"	"019625"	"NM_019625"	7912	2.27095292766935
"NM_004996_ABCC1"	13009	5629	5900	4163	5436	7118	6267	4550	6537	1743	2757	6250	2408	3850	7015	2215	4079	6309	2113	4717	7142	"ABCC1"	"NM"	"004996"	"NM_004996"	96198	7.39472672765009
"NR_146762_ABCC10"	3476	805	937	694	816	819	762	780	1133	318	333	940	406	481	1040	338	498	900	439	551	1083	"ABCC10"	"NR"	"146762"	"NR_146762"	14073	4.04861910241657
"NM_145186_ABCC11"	5980	115	110	79	100	139	151	83	125	16	28	53	18	29	61	16	43	56	21	44	49	"ABCC11"	"NM"	"145186"	"NM_145186"	1336	0.223411371237458
"NM_033226_ABCC12"	5168	4	3	0	4	0	2	4	0	0	1	5	1	1	12	4	1	4	1	0	2	"ABCC12"	"NM"	"033226"	"NM_033226"	49	0.00948142414860681
"NR_003088_ABCC13"	812	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	"ABCC13"	"NR"	"003088"	"NR_003088"	4	0.00492610837438424
"NM_000392_ABCC2"	5806	3622	3514	3051	3928	4477	3610	3487	3176	2358	3040	8945	3904	4219	10945	3021	4872	8973	3309	5455	11506	"ABCC2"	"NM"	"000392"	"NM_000392"	99412	17.1222872890114
"NM_003786_ABCC3"	5693	476	508	343	506	496	405	443	621	3503	220	3195	4308	238	3733	4002	293	2891	4443	292	3567	"ABCC3"	"NM"	"003786"	"NM_003786"	34483	6.05708765150184
"NM_005845_ABCC4"	5856	2187	2110	1901	1997	3143	2344	2006	1127	833	1718	3205	1414	2430	3666	1237	2491	3767	1094	2902	3425	"ABCC4"	"NM"	"005845"	"NM_005845"	44997	7.68391393442623
"NR_135125_ABCC5"	1995	276	280	256	278	374	284	246	180	93	162	669	125	208	908	105	254	781	126	277	844	"ABCC5"	"NR"	"135125"	"NR_135125"	6726	3.37142857142857
"NR_046570_ABCC5-AS1"	469	7	9	11	8	11	12	9	1	0	0	4	1	0	2	0	0	2	1	1	7	"ABCC5-AS1"	"NR"	"046570"	"NR_046570"	86	0.183368869936034
"NR_147784_ABCC6"	9484	75	79	58	76	97	72	65	96	33	15	97	59	19	93	43	8	61	45	17	95	"ABCC6"	"NR"	"147784"	"NR_147784"	1203	0.126845212990299
"NR_003569_ABCC6P1"	2724	119	107	72	97	127	72	88	41	10	4	9	7	7	12	3	3	9	11	5	9	"ABCC6P1"	"NR"	"003569"	"NR_003569"	812	0.298091042584435
"NR_023387_ABCC6P2"	1422	6	5	4	5	9	4	4	5	7	2	10	5	5	9	5	4	17	8	7	8	"ABCC6P2"	"NR"	"023387"	"NR_023387"	129	0.0907172995780591
"NM_001351297_ABCC8"	5305	2	2	2	1	7	3	1	0	3	0	5	2	0	6	4	0	6	5	0	3	"ABCC8"	"NM"	"001351297"	"NM_001351297"	52	0.00980207351555137
"NM_020297_ABCC9"	8324	1	2	2	3	1	2	4	0	1	1	3	1	0	0	0	2	1	1	1	1	"ABCC9"	"NM"	"020297"	"NM_020297"	27	0.00324363286881307
"NM_000033_ABCD1"	3669	208	225	149	194	272	269	211	344	207	81	284	238	79	338	246	125	332	218	121	323	"ABCD1"	"NM"	"000033"	"NM_000033"	4464	1.21668029435814
"NM_005164_ABCD2"	6290	2	0	0	0	0	1	0	0	7	0	2	3	0	4	3	0	3	4	2	1	"ABCD2"	"NM"	"005164"	"NM_005164"	32	0.00508744038155803
"NM_002858_ABCD3"	3604	1789	1629	1405	1482	2527	1603	1585	776	766	1895	3477	1175	1904	3965	1071	2602	4628	881	2614	4326	"ABCD3"	"NM"	"002858"	"NM_002858"	42100	11.6814650388457
"NM_001353601_ABCD4"	2938	435	496	353	408	552	498	407	541	487	506	1771	660	522	1929	585	768	1735	688	725	1900	"ABCD4"	"NM"	"001353601"	"NM_001353601"	15966	5.43430905377808
"NM_002940_ABCE1"	3887	3357	2797	2454	2614	4686	2786	2919	1054	2370	4079	8309	3481	3769	9158	3337	5804	12034	2694	5758	10457	"ABCE1"	"NM"	"002940"	"NM_002940"	93917	24.1618214561358
"NM_001025091_ABCF1"	23835	4060	4514	3267	3898	5806	5213	3665	3944	4223	5129	8425	4321	4215	8961	4783	7401	9567	4511	6082	9120	"ABCF1"	"NM"	"001025091"	"NM_001025091"	111105	4.66142227816237
"NM_007189_ABCF2"	4527	3642	3812	2899	3498	5205	4283	3208	3495	2033	3759	3548	2452	3226	3748	2369	5413	4639	2189	4659	4281	"ABCF2"	"NM"	"007189"	"NM_007189"	72358	15.983653633753
"NM_018358_ABCF3"	2572	1461	1436	1021	1334	1751	1677	1110	1654	1160	1286	4388	1271	1129	4933	1407	1836	4645	1516	1626	5058	"ABCF3"	"NM"	"018358"	"NM_018358"	41699	16.2126749611198
"NM_004915_ABCG1"	2995	7	7	5	12	6	14	10	23	31	7	33	38	5	43	37	5	29	37	8	39	"ABCG1"	"NM"	"004915"	"NM_004915"	396	0.132220367278798
"NM_001348989_ABCG2"	4076	58	49	47	47	73	64	56	26	42	86	203	50	86	209	58	112	256	59	119	276	"ABCG2"	"NM"	"001348989"	"NM_001348989"	1976	0.484789008832188
"NM_001142505_ABCG4"	3612	61	68	58	53	49	49	57	92	35	29	164	27	66	227	40	60	148	32	57	182	"ABCG4"	"NM"	"001142505"	"NM_001142505"	1554	0.430232558139535
"NM_022436_ABCG5"	2760	5	5	3	4	7	2	4	4	1	1	1	3	1	1	1	0	4	0	1	0	"ABCG5"	"NM"	"022436"	"NM_022436"	48	0.0173913043478261
"NM_022437_ABCG8"	7180	52	49	36	44	54	43	38	40	10	2	16	11	2	12	15	4	6	21	3	14	"ABCG8"	"NM"	"022437"	"NM_022437"	472	0.0657381615598886
"NM_032604_ABHD1"	1420	58	56	43	51	40	53	48	42	3	3	7	3	3	8	4	3	6	4	0	7	"ABHD1"	"NM"	"032604"	"NM_032604"	442	0.311267605633803
"NM_018394_ABHD10"	2604	2813	2840	2134	2568	4361	3092	2429	1441	1309	2429	2382	1790	2086	2510	1641	3062	3542	1582	3154	2971	"ABHD10"	"NM"	"018394"	"NM_018394"	50136	19.2534562211982
"NM_148912_ABHD11"	1482	710	891	607	700	967	824	609	1024	541	561	776	425	510	751	515	881	871	494	743	879	"ABHD11"	"NM"	"148912"	"NM_148912"	14279	9.63495276653171
"NR_026690_ABHD11-AS1"	473	14	29	32	27	35	39	19	28	14	6	10	6	2	19	7	8	23	13	2	20	"ABHD11-AS1"	"NR"	"026690"	"NR_026690"	353	0.74630021141649
"NM_001042472_ABHD12"	1960	716	780	512	694	1035	911	648	760	893	900	2693	1012	958	3027	1173	1292	3456	1050	1173	3288	"ABHD12"	"NM"	"001042472"	"NM_001042472"	26971	13.7607142857143
"NM_181814_ABHD12B"	1477	33	38	18	33	38	20	24	15	12	8	43	32	12	52	22	14	54	33	10	55	"ABHD12B"	"NM"	"181814"	"NM_181814"	566	0.383209207853758
"NM_032859_ABHD13"	5313	359	323	278	289	580	356	336	129	447	420	1249	635	485	1437	545	586	1594	562	742	1358	"ABHD13"	"NM"	"032859"	"NM_032859"	12710	2.3922454357237
"NM_015407_ABHD14A"	1066	103	123	58	112	140	129	84	126	177	163	588	150	128	711	166	195	777	197	175	830	"ABHD14A"	"NM"	"015407"	"NM_015407"	5132	4.81425891181989
"NM_001316331_ABHD14A-ACY1"	1836	483	558	371	469	638	613	435	754	728	408	926	581	326	1064	774	580	1354	763	466	1233	"ABHD14A-ACY1"	"NM"	"001316331"	"NM_001316331"	13524	7.36601307189542
"NM_001254753_ABHD14B"	2004	764	854	549	729	1000	907	630	920	1108	774	1487	1104	631	1444	1279	1127	2101	1221	941	1780	"ABHD14B"	"NM"	"001254753"	"NM_001254753"	21350	10.6536926147705
"NM_198147_ABHD15"	3492	311	361	244	352	411	348	291	479	150	175	507	230	179	565	212	252	648	190	249	652	"ABHD15"	"NM"	"198147"	"NM_198147"	6806	1.94902634593356
"NR_033489_ABHD16A"	12969	576	600	405	482	681	659	483	625	660	568	2779	702	613	3333	779	833	2984	792	810	3188	"ABHD16A"	"NR"	"033489"	"NR_033489"	22552	1.73891587632046
"NM_080622_ABHD16B"	1776	199	163	142	146	152	162	162	329	9	21	13	9	25	24	14	33	23	18	30	37	"ABHD16B"	"NM"	"080622"	"NM_080622"	1711	0.963400900900901
"NM_001130111_ABHD17A"	1706	980	1064	759	999	1259	1151	874	1757	636	786	1661	746	732	2027	886	1241	2319	659	1032	2188	"ABHD17A"	"NM"	"001130111"	"NM_001130111"	23756	13.9249706916764
"NM_001025780_ABHD17B"	3117	386	386	332	400	649	483	392	282	784	679	1963	848	666	1792	1078	1019	2550	755	950	2368	"ABHD17B"	"NM"	"001025780"	"NM_001025780"	18762	6.01924927815207
"NM_021214_ABHD17C"	2361	447	471	391	418	795	585	463	467	372	470	737	564	431	706	551	693	1035	485	661	897	"ABHD17C"	"NM"	"021214"	"NM_021214"	11639	4.92969080897925
"NM_001366043_ABHD18"	2665	202	174	168	149	278	176	149	96	97	109	316	111	143	362	135	160	335	151	185	401	"ABHD18"	"NM"	"001366043"	"NM_001366043"	3897	1.46228893058161
"NM_152924_ABHD2"	8424	2909	2994	2072	2748	4408	3179	2459	2133	1544	2080	3603	2030	2767	3934	2054	3250	4233	1837	3496	4090	"ABHD2"	"NM"	"152924"	"NM_152924"	57820	6.86372269705603
"NM_138340_ABHD3"	2029	590	551	433	435	908	621	548	314	841	960	3553	1348	1248	4028	1215	1309	4052	1183	1560	4198	"ABHD3"	"NM"	"138340"	"NM_138340"	29895	14.733859043864
"NM_022060_ABHD4"	2509	164	173	112	134	203	201	158	219	233	250	555	219	275	678	233	423	824	217	467	724	"ABHD4"	"NM"	"022060"	"NM_022060"	6462	2.57552809884416
"NM_001355186_ABHD5"	1456	285	297	210	246	466	349	275	186	227	295	485	288	268	494	318	515	614	194	363	575	"ABHD5"	"NM"	"001355186"	"NM_001355186"	6950	4.77335164835165
"NM_001320126_ABHD6"	2198	226	244	188	209	354	271	204	231	208	267	497	298	262	607	283	326	638	259	375	595	"ABHD6"	"NM"	"001320126"	"NM_001320126"	6542	2.97634212920837
"NM_024527_ABHD8"	2042	205	191	140	196	208	219	133	245	82	41	345	88	52	349	105	73	430	101	68	375	"ABHD8"	"NM"	"024527"	"NM_024527"	3646	1.78550440744368
"NM_001012752_ABI1"	3629	824	794	641	781	1307	953	829	504	1244	1109	2912	1585	1010	3271	1626	1632	4013	1395	1527	3530	"ABI1"	"NM"	"001012752"	"NM_001012752"	31487	8.67649490217691
"NM_001282927_ABI2"	6114	1602	1605	1286	1506	2474	1633	1575	753	1248	1589	3657	1861	1582	3789	1909	2225	4395	1551	2370	4159	"ABI2"	"NM"	"001282927"	"NM_001282927"	42769	6.99525678770036
"NM_016428_ABI3"	1629	3	1	1	4	2	3	2	1	1	0	6	2	0	1	3	1	5	0	0	6	"ABI3"	"NM"	"016428"	"NM_016428"	42	0.0257826887661142
"NM_015429_ABI3BP"	4473	74	49	61	74	67	43	72	25	4	4	35	10	4	47	8	9	54	11	9	50	"ABI3BP"	"NM"	"015429"	"NM_015429"	710	0.158730158730159
"NM_017832_ABITRAM"	1901	346	319	215	276	455	339	343	177	428	560	1612	617	494	1886	564	752	1928	574	703	1972	"ABITRAM"	"NM"	"017832"	"NM_017832"	14560	7.65912677538138
"NM_007313_ABL1"	5881	2711	2804	2168	2648	3770	3284	2309	3137	1031	1597	2716	1200	1390	2234	1389	2421	2820	1200	1998	3110	"ABL1"	"NM"	"007313"	"NM_007313"	45937	7.81108654990648
"NM_001136000_ABL2"	11614	6795	6703	4968	5924	9560	6570	5866	4327	4186	1870	2750	4876	2327	3008	4639	2624	2671	3984	2428	3001	"ABL2"	"NM"	"001136000"	"NM_001136000"	89077	7.66979507490959
"NM_001322890_ABLIM1"	6746	4591	4627	3553	4214	7235	5184	4252	3072	4048	5211	5242	5131	5256	5746	5441	8032	6775	4662	7250	6348	"ABLIM1"	"NM"	"001322890"	"NM_001322890"	105870	15.6937444411503
"NM_032432_ABLIM2"	3353	90	101	59	71	93	109	81	100	132	20	160	151	18	129	173	22	161	173	13	202	"ABLIM2"	"NM"	"032432"	"NM_032432"	2058	0.613778705636743
"NM_001345860_ABLIM3"	4048	404	395	308	416	443	403	316	416	588	226	787	588	247	703	731	361	729	597	306	782	"ABLIM3"	"NM"	"001345860"	"NM_001345860"	9746	2.40760869565217
"NM_020469_ABO"	12819	7	8	5	8	9	10	9	3	2	0	3	7	3	1	4	3	4	5	4	2	"ABO"	"NM"	"020469"	"NM_020469"	97	0.00756689289336142
"NM_001256847_ABR"	10752	1069	1044	832	1103	1381	1226	930	1355	1219	716	2138	1361	630	1933	1539	971	2597	1337	870	2565	"ABR"	"NM"	"001256847"	"NM_001256847"	26816	2.49404761904762
"NM_139166_ABRA"	2754	19	21	14	11	23	18	20	12	1	4	4	0	2	2	0	0	4	1	2	2	"ABRA"	"NM"	"139166"	"NM_139166"	160	0.0580973129992738
"NM_021243_ABRACL"	782	232	264	242	232	417	298	221	198	674	494	1420	701	387	1403	764	662	2083	786	655	1589	"ABRACL"	"NM"	"021243"	"NM_021243"	13722	17.5473145780051
"NM_139076_ABRAXAS1"	4210	491	464	434	425	755	461	442	157	508	817	1245	684	671	1127	698	1075	1674	627	1045	1397	"ABRAXAS1"	"NM"	"139076"	"NM_139076"	15197	3.60973871733967
"NM_032182_ABRAXAS2"	2955	1114	1096	879	1004	1538	1063	983	513	743	1058	1550	1130	989	1816	1050	1523	2083	962	1531	2049	"ABRAXAS2"	"NM"	"032182"	"NM_032182"	24674	8.34991539763113
"NM_013375_ABT1"	2943	1018	1164	839	934	1473	1297	890	1041	842	832	1169	844	648	1167	905	1193	1534	893	1084	1275	"ABT1"	"NM"	"013375"	"NM_013375"	21042	7.14984709480122
"NM_172027_ABTB1"	1962	96	96	86	84	111	117	85	124	194	88	471	170	62	434	210	151	559	202	95	542	"ABTB1"	"NM"	"172027"	"NM_172027"	3977	2.02701325178389
"NM_145804_ABTB2"	4905	719	735	563	715	931	882	737	1186	548	411	716	517	305	640	677	615	703	571	485	738	"ABTB2"	"NM"	"145804"	"NM_145804"	13394	2.73068297655454
"NM_001607_ACAA1"	1699	708	685	495	667	812	873	571	761	610	675	1946	608	533	2191	670	913	2317	668	737	2109	"ACAA1"	"NM"	"001607"	"NM_001607"	19549	11.5061801059447
"NM_006111_ACAA2"	2926	205	247	168	172	351	235	193	158	205	278	702	211	257	779	236	379	1077	217	348	949	"ACAA2"	"NM"	"006111"	"NM_006111"	7367	2.51777170198223
